"rmax", "topt", "ctmin", "ctmax", "e", "eh", "q10", "thermal_safety_margin", "thermal_tolerance", "breadth", "skewness", "tAdaptation", "line", "mediumConcentration", "r_tref", "e_from_fit", "eh_from_fit", "th", "r_tadapt", "r_tref_0025", "r_tref_0975", "e_from_fit_0025", "e_from_fit_0975", "sd_e_from_fit", "sd_r_tref", "speed_quantile"
962.93, 29.17, -30.94, 47.95, 0.29, 0.67, NA, 18.78, 78.9, 13.36, -0.38, 15, "all", 50, 743.941824296449, 0.328931349170013, 2.57047496668395, 35.171493227497, 592.852663679135, 734.739434363374, 753.068427248557, 0.311877693400772, 0.348069001364609, 0.00929086198472122, 4.63688576245915, 7
1042.15, 30.97, -Inf, 46.53, 0.23, 0.79, NA, 15.57, Inf, 14.02, -0.56, 15, "all", 100, 786.813625576732, 0.254752789087212, 3.21749529938587, 37.1698966278613, 660.47689532087, 775.9999344072, 796.814032558247, 0.237635564110978, 0.2745949487157, 0.00926847135416689, 5.46004084537209, 7
873.24, 30.03, -35.11, 45.93, 0.25, 1.05, NA, 15.9, 81.04, 13.05, -0.79, 15, "all", 200, 655.860761592472, 0.295741800656171, 3.08231091766986, 35.906204712349, 535.201069863292, 646.079670673229, 667.223693811819, 0.272262730447797, 0.321864718029818, 0.0126854181173183, 5.32458364498684, 7
780.2, 32.21, -28.66, 45.24, 0.28, 0.99, NA, 13.03, 73.9, 11.44, -0.71, 20, "all", 50, 509.167542606531, 0.326187634311019, 3.81789987399463, 37.2820523924246, 509.054343818143, 483.874854266604, 537.150305507403, 0.27030786711856, 0.391265179454973, 0.0304525692347597, 13.8544423089616, 7
878.57, 31.56, -32.6, 44.53, 0.29, 0.86, NA, 12.97, 77.13, 11.88, -0.57, 20, "all", 100, 605.002086336159, 0.303287393804389, 3.84634882495074, 36.7583601419279, 604.841026596832, 585.951371060747, 625.701581963668, 0.269942323140491, 0.341463777571813, 0.0188343318497141, 9.7969864842771, 7
771.63, 30.85, -29.75, 47.06, 0.28, 0.84, NA, 16.21, 76.81, 12.55, -0.56, 20, "all", 200, 545.196193282522, 0.327445088649109, 3.01420936501292, 36.513109354835, 544.255781797229, 538.418892720194, 552.062273979297, 0.308753574599083, 0.347466275774168, 0.00996023205584462, 3.53957465089718, 7
920.86, 32.03, -Inf, 44.44, 0.22, 0.81, NA, 12.41, Inf, 13.74, -0.59, 25, "all", 50, 684.478315892755, 0.22567311750515, 4.18666644674958, 37.6256984884799, 794.004804033041, 669.681177159841, 698.209999604173, 0.200840003168691, 0.250681889565427, 0.012921985223326, 7.457260821175, 7
924.54, 31.86, -36.03, 45.51, 0.27, 0.8, NA, 13.65, 81.54, 12.58, -0.53, 25, "all", 100, 648.37007682172, 0.282404616883493, 3.68030685022318, 37.3819186588534, 779.436530763425, 637.928515834843, 657.246464632276, 0.266028201665158, 0.300772514783144, 0.00898100617874704, 4.97228616555064, 7
857.76, 33.6, -Inf, 44.92, 0.22, 1.01, NA, 11.32, Inf, 13.16, -0.79, 25, "all", 200, 599.923230153913, 0.232990166639726, 4.65966678247128, 38.8135254577256, 700.013156414602, 589.015883209029, 609.622492418329, 0.216745871881722, 0.250864976164523, 0.00893965092550308, 5.3558092679047, 7
956.44, 29.1, -30.85, 47.98, 0.29, 0.67, NA, 18.88, 78.83, 13.36, -0.38, 15, "all", 50, 741.168630744495, 0.329998785342601, 2.55569680061106, 35.0996648706047, 590.167139225595, 731.858297183878, 749.881975444132, 0.313776337607257, 0.350043866713041, 0.00927642473081599, 4.64914550845783, 8
1035.42, 30.86, -Inf, 46.74, 0.23, 0.77, NA, 15.89, Inf, 14.11, -0.55, 15, "all", 100, 785.275630896289, 0.255641951920759, 3.1458196583561, 37.1252090154059, 658.767741586657, 773.712199077751, 794.507762662519, 0.236974707214564, 0.274588454598964, 0.009755534924075, 5.32481544443339, 8
865.99, 30.04, -35.32, 45.91, 0.25, 1.04, NA, 15.88, 81.23, 13.07, -0.79, 15, "all", 200, 650.927771379733, 0.294433952069155, 3.08857638946777, 35.9199576092993, 531.655499714725, 642.274940522586, 661.082292402014, 0.272401831483786, 0.317354539322493, 0.0115258452747295, 4.94207477919152, 8
767.74, 32.25, -28.9, 45.2, 0.28, 0.99, NA, 12.95, 74.1, 11.45, -0.71, 20, "all", 50, 501.17213280051, 0.324340811857983, 3.84516815595455, 37.3131305669375, 501.068704845829, 476.096936682337, 528.797039003535, 0.269047907556686, 0.384537549496565, 0.0296108618843269, 13.3462787185384, 8
