current_date,starting_date,name,current_count,starting_count,previous_count,cultured_at_start_ml,volume_at_start_ml,culture_time_days,growth_rate_gen_per_day
2021-03-10,2021-03-08,15_100_D,20000,1793.650794,226000, 0.1 , 12.6 ,2.0000,1.7395
2021-03-17,2021-03-10,15_100_C,43333,99.20634921,12500, 0.1 , 12.6 ,7.0000,1.2530
2021-03-17,2021-03-10,15_100_D,23333,158.7301587,20000, 0.1 , 12.6 ,7.0000,1.0285
2021-03-24,2021-03-10,15_100_A,160000,13.49206349,1700, 0.1 , 12.6 ,14.0000,0.9667
2021-03-24,2021-03-10,15_100_B,5000,13.49206349,1700, 0.1 , 12.6 ,14.0000,0.6095
2021-03-24,2021-03-17,15_100_C,100000,343.9126984,43333, 0.1 , 12.6 ,7.0000,1.1691
2021-03-24,2021-03-17,15_100_D,150000,185.1825397,23333, 0.1 , 12.6 ,7.0000,1.3803
2021-03-29,2021-03-24,15_100_A,283333,2519.685039,160000, 0.2 , 12.7 ,5.0000,1.3626
2021-03-29,2021-03-24,15_100_B,65000,78.74015748,5000, 0.2 , 12.7 ,5.0000,1.9378
2021-03-29,2021-03-24,15_100_C,140000,793.6507937,100000, 0.1 , 12.6 ,5.0000,1.4925
2021-03-29,2021-03-24,15_100_D,71666,1190.47619,150000, 0.1 , 12.6 ,5.0000,1.1823
2021-04-09,2021-03-29,15_100_A,106666,204.4249639,283333,0.1,138.6,11.0000,0.8207
2021-04-09,2021-03-29,15_100_B,55000,46.8975469,65000,0.1,138.6,11.0000,0.9269
2021-04-09,2021-03-29,15_100_C,33333,101.010101,140000,0.1,138.6,11.0000,0.7606
2021-04-09,2021-03-29,15_100_D,105000,51.70707071,71666,0.1,138.6,11.0000,0.9989
2021-03-10,2021-03-08,15_200_A,1700,115.8730159,14600, 0.1 , 12.6 ,2.0000,1.9375
2021-03-10,2021-03-08,15_200_B,1700,115.8730159,14600, 0.1 , 12.6 ,2.0000,1.9375
2021-03-10,2021-03-08,15_200_C,8333,1793.650794,226000, 0.1 , 12.6 ,2.0000,1.1080
2021-03-10,2021-03-08,15_200_D,10800,1793.650794,226000, 0.1 , 12.6 ,2.0000,1.2950
2021-03-19,2021-03-10,15_200_C,20000,66.13492063,8333,0.1,12.6,9.0000,0.9156
2021-03-19,2021-03-10,15_200_D,30000,85.71428571,10800,0.1,12.6,9.0000,0.9390
2021-03-24,2021-03-10,15_200_A,55000,13.49206349,1700,0.1,12.6,14.0000,0.8567
2021-03-24,2021-03-10,15_200_B,53000,13.49206349,1700,0.1,12.6,14.0000,0.8528
2021-03-24,2021-03-19,15_200_C,27500,314.9606299,20000,0.2,12.7,5.0000,1.2896
