"rmax", "topt", "ctmin", "ctmax", "e", "eh", "q10", "thermal_safety_margin", "thermal_tolerance", "breadth", "skewness", "tAdaptation", "line", "mediumConcentration", "r_tref", "e_from_fit", "eh_from_fit", "th", "r_tref_0025", "r_tref_0975", "e_from_fit_0025", "e_from_fit_0975", "sd_e_from_fit", "sd_r_tref"
0.14, 30.06, 9.44, 39.03, 1, NA, 3.69, 8.97, 29.59, 5.22, NA, 20, "d", 200, 0.0399678080618149, 1.16518087254637, 5.26020965599494, 31.9690681958007, 0.00360855344007509, 0.0566447543238118, 0.76007745733253, 4.25932525091965, 1.0567111043213, 0.0135499840733127
0.14, 30.03, 1.79, 37.79, 0.72, NA, 2.57, 7.76, 36.01, 5.77, NA, 20, "c", 200, 0.0568460463114978, 0.800430863014951, 6.03807920487389, 32.5116391080453, 0.0500894899819955, 0.0618479306694929, 0.670951070623054, 0.994201330501947, 0.0795533468045839, 0.00305570827128361
0.16, 28.12, 1.75, 39.04, 0.75, NA, 2.71, 10.92, 37.29, 6.5, NA, 20, "b", 200, 0.0791197769988636, 0.873905628808397, 4.26910358701013, 30.6290185177042, 0.064539288048336, 0.092424754916659, 0.61487031004678, 1.31117742698044, 0.176442279782784, 0.00709469429411106
0.16, 27.16, 0.63, 37.44, 0.85, 1.37, 3.14, 10.28, 36.81, 6.32, -0.52, 20, "a", 200, 0.0888872533543407, 0.8580206095844, 4.48607792971742, 29.6765104839482, 0.0764251213410159, 0.103982171119291, 0.582849790547229, 1.3269679997337, 0.189938648977137, 0.00720645286050892
0.14, 27.73, 1.98, 35.68, 0.77, NA, 2.77, 7.95, 33.7, 5.46, NA, 25, "d", 50, 0.0699062961509176, 0.876290157207627, 5.77595546853026, 30.0684114855709, 0.0606826808093093, 0.0805665226897604, 0.655340842613318, 1.26648078710862, 0.157620136345786, 0.00513593547959248
0.14, 27.96, -1.48, 38.2, 0.65, NA, 2.37, 10.24, 39.68, 6.69, NA, 25, "c", 50, 0.0741691186939027, 0.762792262162632, 4.52475025577066, 30.7413996305053, 0.0596536277665335, 0.0905180296497121, 0.46835310171253, 1.34384849514974, 0.211948864741728, 0.00776371269370116
0.22, 27.45, -13.23, 31.01, 0.5, 4.42, 1.97, 3.56, 44.24, 5.27, -3.92, 25, "b", 50, 0.138915015063356, 0.501770297851891, 14.5064691940279, 29.2475640439803, 0.11262886618668, 0.163590668772689, 0.249278550981669, 0.941586752163203, 0.173355121721558, 0.0131941411790715
0.1, 24.41, 0.19, 35.35, 0.9, 1.35, 3.39, 10.94, 35.16, 6.18, -0.45, 25, "a", 50, 0.0760744358941541, 0.941174954164958, 4.17753347682016, 26.6790081738145, 0.0628407343691912, 0.0934624045525267, 0.54836291129073, 1.29653944076893, 0.197469584572601, 0.00709654025205442
0.15, 26.54, 2.46, 42.82, 0.87, 1.07, 3.23, 16.28, 40.36, 7.5, -0.2, 25, "d", 100, 0.0936778155451199, 1.00320653082815, 3.06289533785545, 28.3673262099291, 0.0714265517554305, 0.116155092549178, 0.499278220956154, 1.56341403312896, 0.279524563811414, 0.0115196007537929
0.14, 28.28, -1.28, 34.26, 0.7, NA, 2.56, 5.99, 35.54, 5.18, NA, 25, "c", 100, 0.0710452094757576, 0.740196163295122, 7.85514697857171, 30.5502167213563, 0.0548690863399917, 0.0863858773316019, 0.491979288345411, 1.34393082255957, 0.213420871772901, 0.00802774895616363
0.15, 29.4, -0.49, 37.99, 0.7, NA, 2.56, 8.59, 38.48, 6.14, NA, 25, "b", 100, 0.068321328894664, 0.748038803765735, 5.43192033687255, 32.0858114450795, 0.0554550460544585, 0.0813175764620594, 0.511649258930582, 1.16678331420991, 0.164749192148258, 0.00667450168569807
0.15, 30.32, 1.33, 37.95, 0.71, NA, 2.55, 7.63, 36.62, 5.71, NA, 25, "a", 100, 0.0618864119702965, 0.77544757707615, 6.16242422423928, 32.8382230859495, 0.04867666636112, 0.0746396592442723, 0.565218308971613, 1.17816632227732, 0.156232676620786, 0.00665451840492227
0.17, 27.49, 1.99, 35.75, 0.97, 1.37, 3.71, 8.26, 33.76, 5.51, -0.4, 25, "d", 200, 0.0819579119144774, 0.886200261942447, 5.55283460356626, 29.8433678873095, 0.066025492553685, 0.101931019674564, 0.585618812718505, 1.52463533786813, 0.237826847424421, 0.00912160523550504
0.15, 27.85, -0.37, 36.78, 0.69, NA, 2.52, 8.93, 37.15, 6.1, NA, 25, "c", 200, 0.0802311188959345, 0.794034514722264, 5.16458266076887, 30.4520896984812, 0.0651419569375599, 0.0958795407100315, 0.524653710955651, 1.314965220499, 0.198423986580244, 0.0079024991477095
0.17, 28.21, -1.54, 33.06, 0.71, NA, 2.57, 4.85, 34.6, 4.79, NA, 25, "b", 200, 0.0819436824847891, 0.729897603142472, 9.86984370831176, 30.2273940096436, 0.0663621467753646, 0.0950240557300905, 0.527240879644955, 1.24833495814743, 0.181088716683964, 0.00742816612359241
0.15, 27.73, 0.56, 37.09, 0.71, NA, 2.56, 9.37, 36.54, 6.09, NA, 25, "a", 200, 0.0781255497448477, 0.831466114581334, 4.92025819865674, 30.2722020834099, 0.0635800022085827, 0.0936500171747257, 0.542646762701443, 1.32828428045703, 0.205203980911267, 0.0080213700439095
