"rmax", "topt", "ctmin", "ctmax", "e", "eh", "q10", "thermal_safety_margin", "thermal_tolerance", "breadth", "skewness", "tAdaptation", "line", "mediumConcentration", "r_tref", "e_from_fit", "eh_from_fit", "th", "r_tref_0025", "r_tref_0975", "e_from_fit_0025", "e_from_fit_0975", "sd_e_from_fit", "sd_r_tref"
0, 34.67, -28.11, 37.65, 0.31, NA, 1.51, 2.98, 65.75, 7.4, NA, 15, "d", 50, 5.19697450142893e-05, 0.312040163428522, 20, 36.3681719731185, 5.07314510410591e-05, 5.33139517914565e-05, 0.285698394450668, 0.34863962435244, 0.0134371816754272, 5.18506699201036e-07
0, 34.94, -Inf, 38, 0.26, NA, 1.42, 3.06, Inf, 8.77, NA, 15, "c", 50, 5.50890972533754e-05, 0.258896118328469, 20, 36.7219986867757, 5.35847880238682e-05, 5.73063733665143e-05, 0.235782155166499, 0.303685554759281, 0.015771746389616, 8.71230293170471e-07
0, 34.9, -Inf, 37.97, 0.25, NA, 1.4, 3.07, Inf, 8.95, NA, 15, "b", 50, 5.33847173283259e-05, 0.251441611986438, 20, 36.6993419514286, 5.22998773640157e-05, 5.49711128629964e-05, 0.229343365762247, 0.288543220736999, 0.0135077214509202, 5.83377512171199e-07
0, 34.96, -26.84, 37.94, 0.32, NA, 1.54, 2.98, 64.78, 7.43, NA, 15, "a", 50, 6.29104259981279e-05, 0.319596880773012, 20, 36.6539770935687, 6.19620037197767e-05, 6.40425598728221e-05, 0.295104974375913, 0.345549675351763, 0.0109905108337276, 4.88858167526021e-07
0, 28.53, -15.16, 78.56, 0.33, 9.28, 1.56, 50.03, 93.73, 17.58, -8.95, 15, "d", 100, 6.39627855649251e-05, 0.549073233658259, 1.24637633215619, 30.0447447180693, 5.35000475971008e-05, 7.76880094561659e-05, 0.403394960719001, 0.674560885285872, 0.0717231936049362, 6.58609043971242e-06
0, 35.01, -18.05, 37.92, 0.39, NA, 1.68, 2.91, 55.97, 6.46, NA, 15, "c", 100, 4.98169055296112e-05, 0.386417865788209, 20, 36.6213747928856, 4.90327501690836e-05, 5.08118918149564e-05, 0.36774858034848, 0.409750899441852, 0.00924706899161544, 3.84418075013813e-07
0, 29.37, -21.98, 42, 0.37, 8.45, 1.66, 12.63, 63.98, 10.1, -8.08, 15, "b", 100, 5.23737945003102e-05, 0.396172379289588, 3.80047410316446, 33.899906636488, 5.12995524825225e-05, 5.44129984480214e-05, 0.363118980656877, 0.447954436533476, 0.0249771368280581, 1.80192051884564e-06
0, 35.15, -19.86, 38.08, 0.37, NA, 1.64, 2.93, 57.93, 6.67, NA, 15, "a", 100, 4.70758825875895e-05, 0.370021721501177, 20, 36.7810799691286, 4.64588522912517e-05, 4.78442645519258e-05, 0.355363830922419, 0.389660441645338, 0.00752438288279945, 3.11140836842581e-07
0, 27.29, -20.41, 35.32, 0.41, 0.83, 1.74, 8.03, 55.73, 7.94, -0.43, 15, "d", 200, 6.96516226023473e-05, 0.42112638358795, 6.0207169200413, 30.6739459589084, 6.69545993829541e-05, 7.26129220888975e-05, 0.338203054505994, 0.524192902747297, 0.046943151519862, 1.42798550133108e-06
0, 26.69, -10.37, 46.05, 0.48, 0.58, 1.91, 19.36, 56.42, 10.27, -0.1, 15, "c", 200, 7.72791969068553e-05, 0.599985979103205, 2.4769620801463, 30.2968173120062, 7.20681688954222e-05, 9.82726185916215e-05, 0.455523943072501, 0.829215940963284, 0.0951023329131324, 6.1690947433139e-06
0, 26.5, -9.25, 38.12, 0.56, 0.85, 2.13, 11.62, 47.36, 7.84, -0.3, 15, "b", 200, 7.44869337122768e-05, 0.602637776258195, 3.96877089232036, 29.8956981847898, 7.15944204616149e-05, 7.98403750146292e-05, 0.54645280522399, 0.682171303744257, 0.0344813015457137, 2.19172361608194e-06
0, 26.12, -11.4, 37.67, 0.52, 0.93, 2.03, 11.55, 49.07, 8.08, -0.41, 15, "a", 200, 7.39368031679506e-05, 0.56731427766816, 3.98821198159305, 29.633754050651, 7.07999148126714e-05, 7.94818475639123e-05, 0.520717618113085, 0.636870626180261, 0.0306159440937084, 2.16859585729591e-06
0, 27.99, -22.79, 43.93, 0.34, 9.17, 1.58, 15.94, 66.72, 11.21, -8.83, 20, "d", 50, 5.77026009760998e-05, 0.402282362031648, 2.97305193179725, 32.9474904897336, 5.45097804582411e-05, 6.91970469678547e-05, 0.323928996022698, 0.574353864274586, 0.0636584923236375, 3.86828107787312e-06
0, 29.73, -8.07, Inf, 0.29, 8.4, 1.47, Inf, Inf, 19.75, -8.11, 20, "c", 50, 9.22168895275361e-05, 0.759441858223902, 1.10756727176992, 24.2594321411584, 5.82724535912738e-05, 8.71584127702783e-05, 0.39159600806636, 0.759198377833818, 0.102010305698717, 8.24216567602983e-06
0, 28.86, -22.53, 31.66, 0.38, 9.28, 1.68, 2.8, 54.18, 6.15, -8.9, 20, "b", 50, 6.01984845190493e-05, 0.383581840106637, 20, 30.4139532142566, 5.82790677221417e-05, 6.21992406068436e-05, 0.332639515838092, 0.436883450792343, 0.0269005137473706, 9.69382598025665e-07
0, 28.05, -16.52, 38.1, 0.43, 9.17, 1.79, 10.05, 54.62, 8.42, -8.73, 20, "a", 50, 6.81140546952903e-05, 0.463874790867987, 4.71912867146986, 31.7649076237199, 6.46639275886782e-05, 7.52064956864731e-05, 0.377816527291552, 0.620135327639885, 0.062201573400468, 3.2167472472821e-06
0, 31.2, -10.46, 85, 0.37, NA, 1.64, 53.8, 95.46, 17.45, NA, 20, "d", 100, 6.01316649437754e-05, 0.604104912323544, 1.2549439746646, 31.674530534938, 5.25363008676137e-05, 7.53051826359191e-05, 0.463314178541526, 0.765673229745873, 0.0818097566391675, 6.20458216188618e-06
0, 34.63, -22.1, 37.56, 0.35, NA, 1.6, 2.93, 59.66, 6.68, NA, 20, "c", 100, 4.8812720157973e-05, 0.353945031551039, 20, 36.2783312150253, 4.73519246077292e-05, 5.06845494879184e-05, 0.314364749375929, 0.388815239895472, 0.0141068486623516, 6.48137170069852e-07
0, 28.33, -1.83, 64.77, 0.54, 8.44, 2.06, 36.45, 66.6, 12.41, -7.9, 20, "b", 100, 6.01863808311949e-05, 0.857745823764246, 1.75141587875966, 28.5088043859781, 5.28774625156122e-05, 7.10690588494097e-05, 0.675229533639212, 1.03518605639926, 0.0980334061475655, 4.99502464346494e-06
0, 25.11, -1.03, 41.93, 0.75, 0.22, 2.78, 16.82, 42.95, 8, 0.54, 20, "a", 100, 6.30121034050818e-05, 0.901986891869494, 2.9071426576678, 27.2323829293776, 6.03793545930357e-05, 6.80189344822166e-05, 0.818863039006835, 0.989358720100764, 0.0438231348423076, 1.94693352233752e-06
0, 28.71, -14.64, 31.43, 0.47, 9.2, 1.86, 2.72, 46.07, 5.2, -8.73, 20, "d", 200, 6.82238165969176e-05, 0.468976165217009, 20, 30.1790689616265, 6.57631763075671e-05, 7.05840263677604e-05, 0.422803702049809, 0.513967452918401, 0.0233421868533673, 1.19291660107831e-06
0, 25.94, -4.8, 69.31, 0.34, NA, 1.57, 43.37, 74.11, 13.58, NA, 20, "c", 200, 0.000104194152571574, 0.846300308456945, 1.58389423913253, 25.2735993935158, 7.28124002283928e-05, 0.000108252985772427, 0.371869721139726, 0.929324847956341, 0.151163689756345, 9.58758845546749e-06
0, 26.41, -9.7, 50.52, 0.49, 0.26, 1.94, 24.11, 60.23, 11.26, 0.23, 20, "b", 200, 8.50667332361904e-05, 0.632560307355602, 2.08192022068285, 29.5219512796996, 7.48505458726865e-05, 0.000107870290867891, 0.455192522434744, 0.848804317701846, 0.104797360958875, 8.46760930697275e-06
0, 26.06, -14.14, 44.37, 0.44, 0.43, 1.82, 18.31, 58.51, 10.48, 0.01, 20, "a", 200, 8.27902806878265e-05, 0.537036334751955, 2.57327611809574, 30.1064591125984, 7.67734851102452e-05, 9.80731569958378e-05, 0.443099837962721, 0.695690591529805, 0.0666805914052646, 5.50141045331458e-06
0, 30.06, -31.6, 44.04, 0.27, NA, 1.43, 13.98, 75.64, 11.94, NA, 25, "d", 50, 5.26153207515104e-05, 0.316577504180313, 3.50342685350223, 35.3728250551676, 5.12540602408601e-05, 5.53593083543014e-05, 0.264702930904366, 0.397870326623943, 0.0358216969388779, 1.6937126709081e-06
0, 29.97, -21.07, 52.12, 0.33, 8.43, 1.56, 22.15, 73.2, 13.12, -8.1, 25, "c", 50, 5.20409248470882e-05, 0.413600861235384, 2.19931006083055, 35.3330973003313, 4.9744786509017e-05, 6.57285924526661e-05, 0.340703156312262, 0.598423318605086, 0.0609144946635234, 3.82879624827923e-06
0, 29.89, -Inf, 32.88, 0.24, 8.5, 1.38, 2.99, Inf, 9.03, -8.26, 25, "b", 50, 4.98979038883565e-05, 0.239084629269725, 20, 31.6498175126573, 4.59025557867946e-05, 5.46379349900076e-05, 0.175779416760959, 0.342095902325864, 0.0427614962212131, 2.21079215824913e-06
0, 34.87, -34.01, 37.9, 0.28, NA, 1.44, 3.03, 71.91, 8.24, NA, 25, "a", 50, 4.81823978929007e-05, 0.277816721974271, 20, 36.6266167798737, 4.51022316939076e-05, 5.08007459135563e-05, 0.219814668295523, 0.387596883437104, 0.0366672323582761, 1.2619198912557e-06
0, 27.55, -9.08, 44.12, 0.48, 8.45, 1.91, 16.57, 53.2, 9.44, -7.97, 25, "d", 100, 5.60772988259109e-05, 0.60416010335884, 2.85604465193092, 31.1852962268083, 5.3033224164838e-05, 6.09299277757702e-05, 0.538035942486074, 0.705872162333491, 0.0433407950815511, 2.13600189448157e-06
0, 28.84, -16.6, 37.82, 0.43, 8.37, 1.79, 8.98, 54.43, 8.08, -7.93, 25, "c", 100, 5.10513939168768e-05, 0.45354319608079, 5.35342908162207, 32.3745105600894, 4.9947583184491e-05, 5.29554690878695e-05, 0.416136723580235, 0.511357920105195, 0.024305773033705, 8.49995921603221e-07
0, 27.67, -2.84, 50.5, 0.49, 9.2, 1.91, 22.83, 53.35, 10.03, -8.71, 25, "b", 100, 5.81652791088554e-05, 0.785456808075075, 2.27638723113021, 29.882617912516, 5.45200634151996e-05, 7.01831123475542e-05, 0.639918941347181, 1.02932312065926, 0.101794414150202, 3.9944230280211e-06
0, 26.7, 1.89, 67.43, 0.74, 0.08, 2.74, 40.72, 65.54, 11.72, 0.67, 25, "a", 100, 6.68886033665392e-05, 1.11667416768458, 1.87650616075181, 25.1227175317083, 5.31564094044897e-05, 6.78075150787e-05, 0.791126781851, 1.14780165391917, 0.0972211678471944, 3.85174334904527e-06
0, 27.8, -19.36, 36.07, 0.41, 8.42, 1.74, 8.27, 55.43, 7.99, -8.01, 25, "d", 200, 6.60626974146219e-05, 0.429096877624245, 5.8394718731846, 31.2227602719406, 6.47925789121823e-05, 6.80419702228335e-05, 0.390208404664331, 0.478228694824703, 0.0227136197401684, 8.87493544748317e-07
0, 28.62, -24.54, 39.78, 0.36, 8.46, 1.62, 11.16, 64.32, 9.78, -8.1, 25, "c", 200, 6.89411357958181e-05, 0.375518268103642, 4.32129217171325, 32.9484527305428, 6.70687215530549e-05, 7.24258289938059e-05, 0.332184631022893, 0.437385942152344, 0.0283344286291201, 1.80449954269195e-06
0, 26.89, -14.84, 40.3, 0.5, 0.53, 1.98, 13.41, 55.14, 9.21, -0.03, 25, "b", 200, 7.17204826378591e-05, 0.505147187753158, 3.4708886119982, 30.8988321008211, 6.72365454998591e-05, 8.62405540372301e-05, 0.357426013324163, 0.762847815136961, 0.0999330802861835, 4.39991103758709e-06
0, 26.39, -8.61, 51.57, 0.55, 0.3, 2.11, 25.18, 60.18, 11.31, 0.25, 25, "a", 200, 8.4027038567104e-05, 0.661703079803468, 2.03106713126887, 29.1820093434113, 7.3967156853158e-05, 0.000102407408595977, 0.437196950068099, 0.932441378355512, 0.127932004027157, 7.68285676313654e-06
