"rmax", "topt", "ctmin", "ctmax", "e", "eh", "q10", "thermal_safety_margin", "thermal_tolerance", "breadth", "skewness", "tAdaptation", "line", "mediumConcentration", "r_tref", "e_from_fit", "eh_from_fit", "th", "r_tref_0025", "r_tref_0975", "e_from_fit_0025", "e_from_fit_0975", "sd_e_from_fit", "sd_r_tref"
0.1, 27.46, -18.7, 32.43, 0.44, 1.93, 1.81, 4.97, 51.12, 6.47, -1.5, 15, "all", 50, 0.0653576120426887, 0.434194222054882, 10.1764951072233, 29.857171534478, 0.0560488102190383, 0.078149543074852, 0.24345582520936, 0.883195198856435, 0.161281435489059, 0.00591827161057259
0.13, 30.88, 1.79, 37.7, 0.73, NA, 2.61, 6.82, 35.92, 5.48, NA, 15, "all", 100, 0.0478566233279175, 0.772380616786856, 6.94862501148427, 33.2818802280825, 0.0387875131207381, 0.057636655905136, 0.572689395541551, 1.1283489034298, 0.146707438931659, 0.00494399397682258
0.1, 29.7, -24.44, 38.68, 0.35, 10.94, 1.61, 8.98, 63.12, 9.06, -10.59, 15, "all", 200, 0.069706364322631, 0.367584866458602, 5.5111134109365, 33.5351364406579, 0.0552066277242949, 0.0860005843232932, 0.173195707783459, 0.903060989245569, 0.184123891751132, 0.0078716932129261
0.09, 26.45, -9.72, 43.17, 0.45, 1.09, 1.83, 16.73, 52.89, 9.42, -0.64, 20, "all", 50, 0.0708725438097229, 0.609394674038443, 2.81452345632979, 30.0267371727131, 0.0583204860799893, 0.0901369517544927, 0.303819966508084, 1.02747191900986, 0.188686085542377, 0.00816264079400267
0.14, 28.25, -9.54, 34.21, 0.54, 11.64, 2.05, 5.97, 43.76, 6.04, -11.1, 20, "all", 100, 0.082100424373063, 0.556213215993259, 8.11557430480864, 30.78706616387, 0.0704870695155073, 0.104182724155951, 0.349472947706317, 1.02792303138634, 0.170563935142915, 0.00834057363469491
0.14, 28.51, 3.82, 41.51, 0.8, 11.63, 2.88, 13, 37.69, 6.79, -10.84, 20, "all", 200, 0.0664422659600247, 0.961693544070579, 3.68929385481195, 30.7456637649505, 0.0540989962678609, 0.0785122135447153, 0.671535636386715, 1.5363799373039, 0.223646023028157, 0.00609142047402865
0.15, 26.75, -3.02, 33.98, 0.72, 1.86, 2.65, 7.23, 37, 5.67, -1.14, 25, "all", 50, 0.0866148479915943, 0.731897618981875, 6.37513392635161, 29.258348868091, 0.0701614255838578, 0.111356168320197, 0.408030971436099, 1.32130793092161, 0.237058188933404, 0.0104022299614949
0.14, 28.68, -0.44, 40.29, 0.67, 10.83, 2.46, 11.61, 40.73, 7.01, -10.15, 25, "all", 100, 0.0725318844016418, 0.782854397573768, 4.02826578325397, 31.4737898996071, 0.0631889694576553, 0.0829879390755276, 0.564437602057098, 1.10971452184513, 0.134602852447152, 0.00506942844695079
0.16, 27.76, 0.12, 35.66, 0.71, 12.46, 2.59, 7.9, 35.53, 5.66, -11.75, 25, "all", 200, 0.0805388773662432, 0.807045019577257, 5.83636703508874, 30.2267314610326, 0.0733818683848533, 0.0901871452899043, 0.639346861775003, 1.08983745130823, 0.116597857789025, 0.00433758531306609
