"rmax", "topt", "ctmin", "ctmax", "e", "eh", "q10", "thermal_safety_margin", "thermal_tolerance", "breadth", "skewness", "tAdaptation", "line", "mediumConcentration", "r_tref", "e_from_fit", "eh_from_fit", "th", "r_tref_0025", "r_tref_0975", "e_from_fit_0025", "e_from_fit_0975", "sd_e_from_fit", "sd_r_tref"
0, 31.11, -Inf, 41.92, 0.26, NA, 1.41, 10.81, Inf, 11.74, NA, 15, "all", 50, 5.73339908944547e-05, 0.270266145895732, 4.7221158573835, 35.914824414049, 5.65183948915619e-05, 5.83855862532028e-05, 0.249680395126564, 0.298779603966414, 0.0124049860820501, 4.96820607759433e-07
0, 32.25, -22.22, 43.99, 0.36, NA, 1.63, 11.73, 66.2, 10.16, NA, 15, "all", 100, 4.975743940483e-05, 0.374732394486151, 4.20812770740218, 36.7611202906958, 4.92586107046545e-05, 5.03109413539605e-05, 0.361015077181506, 0.390562960694033, 0.00784235771497234, 2.59107370888551e-07
0, 26.66, -11.84, 36.83, 0.52, 0.9, 2.04, 10.17, 48.67, 7.69, -0.37, 15, "all", 200, 7.18276042472724e-05, 0.548028703001776, 4.55828761288174, 30.0776577124507, 7.06291955489032e-05, 7.32547952581464e-05, 0.518260836039368, 0.581280565788853, 0.0158035263101334, 6.83805887372027e-07
0, 28.51, -17.83, 63.31, 0.31, 8.39, 1.53, 34.81, 81.14, 15.38, -8.08, 20, "all", 50, 6.63248586958924e-05, 0.483954033605611, 1.52411052922685, 32.4983802922183, 6.03500586889911e-05, 8.72177017635167e-05, 0.380494844348016, 0.668313261046932, 0.0727288703079143, 6.71367944495531e-06
0, 27.33, -2.81, 65.57, 0.57, -0.25, 2.17, 38.24, 68.38, 12.68, 0.82, 20, "all", 100, 6.55328350402559e-05, 0.859075199488799, 1.70325441149519, 27.2475825346594, 5.88792063306938e-05, 7.34234082705601e-05, 0.741160111325577, 0.963021469133896, 0.0579022933551062, 3.83635829866239e-06
0, 27.39, -17.82, 37.76, 0.44, 0.47, 1.81, 10.37, 55.58, 8.54, -0.03, 20, "all", 200, 7.28424894268618e-05, 0.453727366757943, 4.5509131569237, 31.2001149420399, 7.12632521342127e-05, 7.46702540033601e-05, 0.412541162844284, 0.498832104064379, 0.0218379482140212, 8.73253832436692e-07
0, 30.4, -28.2, 52.19, 0.27, NA, 1.42, 21.79, 80.39, 14.08, NA, 25, "all", 50, 5.22181897895176e-05, 0.346049070115527, 2.23917357061792, 36.5542518069566, 5.08139770874258e-05, 6.06487391116451e-05, 0.297228121486952, 0.46303465778644, 0.0411631368707729, 2.843361203421e-06
0, 28.2, -10.24, 46.66, 0.46, 8.39, 1.84, 18.45, 56.9, 10.24, -7.93, 25, "all", 100, 5.40901246166343e-05, 0.57691449758382, 2.59846933757445, 32.0290496314392, 5.2778853386895e-05, 5.68530280182696e-05, 0.535338402265081, 0.635031648246661, 0.0257172157504067, 1.03033792675637e-06
0, 27.58, -18.84, 38.89, 0.39, 8.44, 1.69, 11.31, 57.73, 9.02, -8.05, 25, "all", 200, 6.91912469795861e-05, 0.441380267291601, 4.17348027877837, 31.6205139858657, 6.805895549877e-05, 7.06165719175393e-05, 0.409424589168111, 0.47355228992174, 0.0166004576623498, 6.7063239314025e-07
