adaptationTemperature,tt,treatment,Label,Area,Mean,StdDev,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,Feret,Median,Skew,Kurt,FeretX,FeretY,FeretAngle,MinFeret,AR,Round,Solidity
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:0079-1479,1759.504,66.35,8.552,64,39,102,1345.537,72.104,1345.234,72.323,177.93,1312.727,49.091,63.636,45.455,69.297,32.328,29.675,0.698,70.353,66,0.021,0.016,1446,102,32.869,35.012,2.144,0.467,0.942
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:1028-1633,1417.355,72.72,6.858,72,49,93,1484.072,937.546,1484.182,937.251,177.268,1467.273,904.545,35.455,60.909,55.294,32.637,101.211,0.567,62.225,73,-0.324,0.223,1626,995,101.802,35.455,1.694,0.59,0.905
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:1123-1573,1216.529,69.064,6.423,72,51,89,1429.945,1021.253,1429.893,1021.128,148.71,1409.091,996.364,41.818,50,56.863,27.24,126.394,0.691,58.55,69,0.077,-0.595,1554,1096,126.158,29.5,2.087,0.479,0.925
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:1234-1610,985.95,66.67,6.091,67,48,84,1463.894,1123.276,1464.068,1122.991,133.906,1450,1096.364,27.273,51.818,50.758,24.732,79.802,0.691,52.61,67,-0.06,-0.425,1606,1263,80.049,26.384,2.052,0.487,0.929
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:0407-1319,1238.017,83.967,7.581,85,61,109,1198.695,366.771,1198.802,366.912,169.334,1182.727,341.818,32.727,56.364,51.83,30.413,93.224,0.543,56.831,84,-0.021,-0.197,1312,376,97.352,31.379,1.704,0.587,0.905
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:0277-1285,1016.529,78.727,7.46,83,55,100,1169.76,253.464,1169.5,253.544,138.957,1140.909,237.273,54.545,30,55.393,23.366,18.367,0.662,56.693,79,-0.064,-0.493,1255,285,15.819,26.02,2.371,0.422,0.926
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:0146-1097,1162.81,80.281,7.657,84,37,104,994.548,133.062,994.671,133.047,149.554,971.818,114.545,50.909,36.364,50.967,29.049,28.735,0.653,56.525,81,-0.717,1.695,1070,161,27.801,30.32,1.755,0.57,0.909
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:0530-1040,1290.083,85.307,10.346,88,52,114,946.832,484.532,946.95,484.454,150.619,929.091,452.727,32.727,59.091,58.236,28.205,72.946,0.715,61.234,85,-0.145,-0.001,1032,562,71.834,30.76,2.065,0.484,0.954
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:0866-1162,990.083,85.855,7.615,82,63,107,1057.237,787.412,1057.174,787.258,136.698,1040,762.727,33.636,49.091,52.615,23.959,114.373,0.666,53.69,86,-0.025,-0.625,1145,840,118.301,26.426,2.196,0.455,0.924
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:1035-0935,1457.851,76.621,7.525,81,55,97,851.473,940.627,851.256,940.454,162.19,823.636,918.182,53.636,45.455,62.272,29.808,143.969,0.696,62.562,77,-0.199,-0.44,907,1015,144.462,32.342,2.089,0.479,0.925
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:0414-0823,1537.19,77.936,7.59,80,55,101,747.953,378.289,747.958,378.205,159.802,731.818,346.364,32.727,60,60.883,32.147,96.61,0.756,61.564,78,-0.078,-0.4,816,381,106.294,32.727,1.894,0.528,0.954
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:0361-0787,1474.38,79.098,9.214,80,40,104,713.451,328.515,713.53,328.486,163.035,687.273,310,56.364,37.273,54.611,34.375,15.286,0.697,59.509,80,-0.768,1.009,756,370,18.712,35.278,1.589,0.629,0.936
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:0316-0828,1513.223,78.597,10.391,77,31,105,753.706,287.168,753.565,286.908,162.19,727.273,265.455,51.818,43.636,55.715,34.581,147.207,0.723,59.091,79,-0.677,0.992,803,294,143.13,35.299,1.611,0.621,0.941
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:0131-0477,1071.074,65.781,6.538,64,40,84,435.856,119.999,435.684,119.984,137.892,409.091,101.818,49.091,34.545,51.437,26.512,31.706,0.708,55.298,66,-0.234,0.259,450,147,27.408,29.168,1.94,0.515,0.942
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:0224-0464,1190.909,67.017,7.88,69,38,90,420.542,204.233,420.704,204.082,145.256,392.727,190,58.182,28.182,57.331,26.448,178.534,0.709,58.437,67,-0.357,0.457,432,221,174.644,27.992,2.168,0.461,0.94
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:0208-0071,1700.826,44.559,7.607,43,9,67,64.435,188.309,64.957,188.72,164.541,40,163.636,50,50.909,60.562,35.757,136.073,0.789,62.437,45,-0.482,0.955,46,186,137.951,37.927,1.694,0.59,0.966
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:0412-0077,1397.521,46.171,8.907,48,17,69,72.499,376.538,72.063,376.561,166.983,41.818,357.273,56.364,35.455,54.83,32.453,12.72,0.63,58.444,47,-0.507,0.093,46,424,15.333,35.455,1.69,0.592,0.913
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:0687-0286,1542.149,59.937,8.178,62,26,81,260.548,627.449,260.526,627.18,190.216,242.727,593.636,34.545,62.727,59.195,33.171,85.988,0.536,62.964,61,-0.521,0.465,286,722,85.03,34.545,1.785,0.56,0.922
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:0739-0427,1390.083,64.913,6.668,64,44,88,386.072,671.491,386.293,671.61,152.126,360,654.545,56.364,34.545,54.485,32.484,179.845,0.755,56.722,65,-0.033,-0.125,396,740,6.442,34.469,1.677,0.596,0.934
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_162.0.png:1143-0303,1178.512,54.004,7.11,51,29,74,275.078,1038.826,275.393,1039.027,143.126,250,1021.818,51.818,35.455,55.56,27.007,157.059,0.723,57.33,54,-0.033,-0.234,275,1132,152.622,28.663,2.057,0.486,0.944
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0202-0122,1661.157,46.844,7.992,48,12,68,112.245,182.906,112.384,183.415,162.282,91.818,154.545,39.091,58.182,58.717,36.021,103.681,0.793,61.288,48,-0.562,0.678,112,171,110.854,37.924,1.63,0.613,0.961
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0073-0191,1090.909,48.752,5.467,48,30,65,176.222,67.179,176.01,67.227,152.346,149.091,45.455,50,41.818,57.753,24.051,40.463,0.591,59.641,49,-0.135,-0.201,165,93,37.569,27.049,2.401,0.416,0.887
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0147-0457,1093.388,64.571,7.181,67,38,86,417.192,134.041,416.963,133.927,136.165,389.091,119.091,52.727,29.091,51.154,27.215,173.317,0.741,53.844,65,-0.495,0.67,428,142,168.311,28.664,1.88,0.532,0.943
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0146-0641,1298.347,69.546,6.242,72,51,88,583.035,133.048,582.95,133.064,149.463,554.545,116.364,56.364,32.727,55.28,29.904,13.217,0.73,57.99,70,-0.054,-0.361,610,157,13.601,32.493,1.849,0.541,0.944
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0307-0527,1264.463,72.365,7.104,74,41,90,479.404,280.048,479.402,279.936,151.684,461.818,252.727,35.455,52.727,54.319,29.639,111.57,0.691,56.954,73,-0.442,0.415,510,280,118.61,30.185,1.833,0.546,0.929
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0291-0711,1158.678,74.573,7.313,75,53,96,646.787,265.961,646.823,265.877,141.437,621.818,247.273,49.091,35.455,47.727,30.911,18.023,0.728,50.885,75,-0.165,-0.373,684,302,18.759,33.57,1.544,0.648,0.911
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0655-0147,1024.793,43.17,7.823,43,20,64,134.244,595.288,134.482,595.775,121.84,116.364,575.455,35.455,40.909,39.716,32.853,112.854,0.867,41.551,43,-0.032,-0.142,142,633,100.081,33.744,1.209,0.827,0.952
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0705-0396,1315.702,63.253,6.259,62,44,86,359.615,641.103,359.731,641.01,162.099,335.455,619.091,50,43.636,53.517,31.302,35.047,0.629,56.283,63,0.047,-0.254,370,717,31.122,35.941,1.71,0.585,0.883
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0819-0742,1175.207,80.874,9.221,77,46,105,673.962,743.712,674.287,743.707,137.854,649.091,730,51.818,29.091,53.665,27.883,11.737,0.777,53.149,81,-0.369,0.273,714,825,12.848,29.061,1.925,0.52,0.97
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:1310-0746,1058.678,65.044,7.943,64,37,86,680.702,1190.352,680.46,1190.356,140.555,650,1176.364,56.364,29.091,53.982,24.971,162.72,0.673,57.783,66,-0.459,0.308,715,1304,167.276,26.935,2.162,0.463,0.932
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0991-0998,1314.876,78.412,8.127,74,56,103,906.687,899.131,906.6,899.395,168.398,890.909,870.909,33.636,60.909,61.895,27.048,73.498,0.583,63.831,78,0.038,-0.511,987,1025,72.597,31.048,2.288,0.437,0.887
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0842-1076,974.38,88.524,7.349,93,65,107,979.101,766.221,979.02,766.196,131.867,954.545,751.818,48.182,27.273,51.219,24.222,12.265,0.704,50.649,89,-0.247,-0.558,1051,854,21.038,25.962,2.115,0.473,0.925
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0551-1067,1374.38,92.253,8.297,95,58,113,970.424,499.702,970.365,499.906,150.528,950,474.545,40.909,52.727,55.88,31.316,62.152,0.762,56.722,93,-0.399,0.287,1056,580,68.369,32.878,1.784,0.56,0.948
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0414-1069,1504.959,81.472,12.03,82,29,112,971.601,374.494,971.738,374.858,155.1,954.545,347.273,34.545,58.182,58.2,32.924,84.062,0.786,58.437,82,-0.558,0.415,1068,446,84.644,34.053,1.768,0.566,0.963
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0346-1101,1641.322,80.32,10.046,80,29,105,1001.112,313.495,1001.124,313.235,193.137,973.636,290.909,54.545,47.273,56.586,36.931,145.11,0.553,62.364,81,-0.769,1.178,1071,326,149.323,37.818,1.532,0.653,0.916
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0063-1076,1214.05,73.375,8.522,72,27,96,978.94,56.475,979.387,56.544,185.423,954.545,38.182,47.273,39.091,50.554,30.577,148.425,0.444,57.28,74,-1.146,2.868,1051,47,144.039,32.525,1.653,0.605,0.881
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0126-1185,1104.132,76.841,6.773,79,48,98,1081.17,115.521,1081.078,115.493,144.724,1049.091,100.909,57.273,28.182,55.178,25.478,7.071,0.662,57.854,77,-0.24,0.287,1154,128,8.13,28.182,2.166,0.462,0.91
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0326-1288,889.256,78.833,7.738,75,53,100,1170.038,294.446,1169.949,294.609,143.035,1153.636,271.818,34.545,49.091,55.511,20.397,62.053,0.546,54.735,79,-0.139,-0.43,1270,350,57.894,24.366,2.722,0.367,0.86
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0530-1233,1344.628,82.854,7.343,85,62,104,1119.477,482.267,1119.643,482.394,153.54,1093.636,463.636,54.545,36.364,55.441,30.88,158.738,0.717,57.215,83,-0.043,-0.359,1203,520,162.429,32.931,1.795,0.557,0.929
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0557-1292,1148.76,86.265,8.26,86,53,111,1175.279,507.088,1175.381,506.937,144.282,1160,482.727,30,48.182,48.512,30.15,94.482,0.693,49.834,87,-0.457,0.786,1284,531,104.797,30,1.609,0.622,0.941
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0428-1399,1491.736,77.372,9.234,80,42,112,1272.128,390.645,1272.289,391.442,176.386,1257.273,355.455,30,68.182,69.936,27.158,93.015,0.603,68.785,78,-0.317,0.352,1396,466,82.405,30,2.575,0.388,0.909
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:1145-1590,1059.504,66.952,5.952,69,49,85,1447.249,1041.184,1447.118,1041.148,149.646,1418.182,1028.182,55.455,25.455,55.745,24.199,174.693,0.595,57.568,67,0.162,-0.484,1560,1134,164.427,25.455,2.304,0.434,0.906
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:1048-1592,1096.694,72.934,7.597,72,46,96,1447.301,952.606,1447.35,952.442,149.242,1430,928.182,35.455,49.091,49.217,28.371,114.587,0.619,52.041,73,-0.457,0.395,1584,1021,109.385,29.272,1.735,0.576,0.912
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0941-1565,1039.669,79.373,6.047,78,63,100,1422.771,856.283,1422.675,856.365,146.762,1398.182,839.091,49.091,32.727,48.875,27.085,26.776,0.607,54.074,79,0.182,-0.06,1539,954,26.996,28.023,1.805,0.554,0.901
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0809-1590,1309.917,73.294,7.217,72,51,95,1445.677,734.642,1445.825,734.796,150.399,1427.273,708.182,36.364,54.545,58.839,28.346,113.576,0.728,59.37,74,-0.184,-0.108,1579,779,115.388,29.792,2.076,0.482,0.951
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0414-1747,1111.57,66.088,6.809,70,47,86,1587.097,378.593,1587.111,378.524,138.295,1574.545,349.091,27.273,55.455,55.392,25.551,99.68,0.73,56.195,66,0.082,-0.262,1743,384,99.31,27.273,2.168,0.461,0.959
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_342.0.png:0333-1873,920.661,60.322,6.178,59,41,80,1704.014,302.54,1704.057,302.461,127.074,1684.545,283.636,37.273,38.182,46.365,25.282,135.354,0.716,49.007,60,0.193,0.006,1854,313,130.486,27.587,1.834,0.545,0.927
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_42.0.png:0181-0064,1272.727,42.392,5.844,43,22,60,57.47,164.281,57.628,163.854,143.126,36.364,143.636,43.636,41.818,50.409,32.147,41.793,0.781,53.451,43,-0.359,0.295,43,200,41.553,34.383,1.568,0.638,0.943
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_42.0.png:0554-0264,1563.636,58.817,7.763,61,31,81,239.522,503.29,239.532,503.344,160.463,221.818,474.545,37.273,59.091,61.377,32.437,70.385,0.763,62.681,59,-0.222,0.086,250,587,70.514,33.886,1.892,0.528,0.961
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_42.0.png:0746-0449,1385.124,64.813,6.823,67,41,86,408.421,676.527,408.329,676.721,152.126,390,650.909,36.364,55.455,52.773,33.418,76.272,0.752,56.896,65,-0.083,-0.212,443,777,77.074,34.883,1.579,0.633,0.922
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_42.0.png:1049-0292,1366.942,56.515,7.939,56,25,77,265.871,956.162,265.739,956.026,164.229,245.455,926.364,40,54.545,53.783,32.361,114.521,0.637,59.091,57,-0.516,0.705,279,1019,112.62,32.813,1.662,0.602,0.908
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_42.0.png:1106-0144,855.372,46.296,5.212,46,34,61,131.303,1006.001,131.527,1005.773,127.204,112.727,983.636,37.273,43.636,52.096,20.905,52.551,0.664,52.444,46,0.113,-0.593,130,1130,56.31,22.44,2.492,0.401,0.929
20,hypoxia20,hypoxia,Tetrahymena2T2_20degrees_hypoxia_frame_42.0.png:0221-0557,1326.446,68.348,8.944,69,28,93,507.97,201.315,507.988,201.257,154.917,480.909,180,50.909,41.818,55.947,30.187,146.238,0.695,58.782,69,-0.464,0.538,529,204,148.276,32,1.853,0.54,0.936
