position,sample,stable.control,stable.temp,duration,start,end,density
A1,50_20_A,40,40,215,30,245,12000
A2,100_20_A,40,40,215,30,245,8000
A3,200_20_A,40,40,215,30,245,10000
A4,50_25_A,40,40,215,30,245,8000
A5,100_25_A,40,40,215,30,245,8000
A6,200_25_A,40,40,215,30,245,8000
B1,50_20_B,40,40,215,30,245,8000
B2,100_20_B,40,40,215,30,245,8000
B3,200_20_B,40,40,215,30,245,10000
B4,50_25_B,40,40,215,30,245,4000
B5,100_25_B,40,40,215,30,245,8000
B6,200_25_B,40,40,215,30,245,8000
C1,50_20_C,40,40,215,30,245,2000
C2,100_20_C,40,40,215,30,245,8000
C3,200_20_C,40,40,215,30,245,4000
C4,50_25_C,40,40,215,30,245,8000
C5,100_25_C,40,40,215,30,245,8000
C6,200_25_C,40,40,215,30,245,8000
D1,50_20_D,40,40,215,30,245,2000
D2,100_20_D,40,40,215,30,245,8000
D3,200_20_D,40,40,215,30,245,6000
D4,50_25_D,40,40,215,30,245,8000
D5,100_25_D,40,40,215,30,245,8000
D6,200_25_D,40,40,215,30,245,8000
