"intercept","slope","r2","p.val","code","temperature","concentration","treatment","replicate","density","rate.per.cell","rate.per.cell.nW"
-175.265777137724,-1.43794034568846,0.998278013581225,0,"100_15_A_8000",12.5,100,"15","A",8000,-1.79742543211058e-07,1.43367545456594
-40.101991876827,-0.0836928829140842,0.927911907168724,0,"100_15_B_8000",12.5,100,"15","B",8000,-1.04616103642605e-08,0.0834446521481633
-56.5220083445523,-0.243643471410501,0.991257057294487,0,"100_15_C_8000",12.5,100,"15","C",8000,-3.04554339263126e-08,0.242920831642172
-87.3245722182158,-0.401536652686939,0.996038928496388,0,"100_15_D_8000",12.5,100,"15","D",8000,-5.01920815858674e-08,0.400345706128865
-50.8664811465892,-0.322307110328875,0.994928734013328,0,"100_20_A_8000",12.5,100,"20","A",8000,-4.02883887911093e-08,0.321351156392615
-57.6556528563181,-0.201171531371381,0.99506483835642,0,"100_20_B_8000",12.5,100,"20","B",8000,-2.51464414214226e-08,0.200574862197432
-53.9248978125896,-0.159533977014852,0.990279706036195,0,"100_20_C_8000",12.5,100,"20","C",8000,-1.99417471268565e-08,0.159060803670526
-52.1540221906443,-0.247723917352141,0.993503437207172,0,"100_20_D_8000",12.5,100,"20","D",8000,-3.09654896690176e-08,0.246989175094494
-47.8700596208991,-0.388499272600591,0.996725189468998,0,"100_25_A_8000",12.5,100,"25","A",8000,-4.85624090750738e-08,0.387346994549704
-56.7009641967697,-0.245029306407162,0.996295189125585,0,"100_25_B_8000",12.5,100,"25","B",8000,-3.06286633008953e-08,0.244302556290728
-45.1025115401851,-0.258074649384599,0.996612798728624,0,"100_25_C_8000",12.5,100,"25","C",8000,-3.22593311730748e-08,0.257309207143264
-57.6133645528663,-0.237728613828959,0.994955002230475,0,"100_25_D_8000",12.5,100,"25","D",8000,-2.97160767286199e-08,0.237023517363915
1.07258144558312,0.00470021717024074,0.0640966846578939,1.17073107437889e-14,"100_control_A_8000",12.5,100,"control","A",8000,5.87527146280093e-10,-0.0046862764566754
11.0863962980756,0.000545289724418243,0.00126544532490792,0.285866031063156,"100_control_B_8000",12.5,100,"control","B",8000,6.81612155522804e-11,-0.000543672410242555
-16.7221917023703,0.00116103434450344,0.00713221050849891,0.0111678315856141,"100_control_C_8000",12.5,100,"control","C",8000,1.4512929306293e-10,-0.0011575907488886
4.5632139587115,-0.00640654123916236,0.17184619016198,9.01135038230597e-39,"100_control_D_8000",12.5,100,"control","D",8000,-8.00817654895295e-10,0.00638753961580649
-47.1236800333564,-0.408660254778043,0.996773236085951,0,"200_15_A_8000",12.5,200,"15","A",8000,-5.10825318472554e-08,0.407448179814045
-52.7834632597134,-0.584535829706324,0.998137429928935,0,"200_15_B_13333",12.5,200,"15","B",13333,-4.38412832600558e-08,0.349690009853759
-27.0598723720782,-0.2121306756604,0.977134613597694,0,"200_15_C_4000",12.5,200,"15","C",4000,-5.30326689151001e-08,0.423003003937821
-40.355894069861,-0.0804215327615531,0.918971928534863,0,"200_15_D_4000",12.5,200,"15","D",4000,-2.01053831903883e-08,0.160366009458628
-67.3664604809428,-0.234433404561471,0.954496805778945,0,"200_20_A_8000",12.5,200,"20","A",8000,-2.93041755701839e-08,0.23373808159558
-27.4463005343352,-0.39120090367446,0.997556057833643,0,"200_20_B_8000",12.5,200,"20","B",8000,-4.89001129593075e-08,0.390040612660853
-29.2176713806705,-0.0472591898823958,0.889701226332928,0,"200_20_C_4000",12.5,200,"20","C",4000,-1.18147974705989e-08,0.0942380408759197
-91.4616583166192,-0.744147902957366,0.997302077455193,0,"200_20_D_12000",12.5,200,"20","D",12000,-6.20123252464472e-08,0.494627187298646
-48.0615044962612,-0.153034467744869,0.989700352879095,0,"200_25_A_8000",12.5,200,"25","A",8000,-1.91293084681087e-08,0.152580571764495
-59.6296593974326,-0.447420958775307,0.998173080920128,0,"200_25_B_8000",12.5,200,"25","B",8000,-5.59276198469134e-08,0.446093920639939
-37.3986021456781,-0.218407727744032,0.996015392940971,0,"200_25_C_8000",12.5,200,"25","C",8000,-2.73009659680041e-08,0.217759936490425
-44.337044906045,-0.225673906589354,0.995837087393324,0,"200_25_D_8000",12.5,200,"25","D",8000,-2.82092383236693e-08,0.22500456405113
-1.35216886182795,0.0323292326293368,0.74097248881623,3.12810055475578e-266,"200_control_A_8000",12.5,200,"control","A",8000,4.0411540786671e-09,-0.0322333450233925
15.0236230006278,0.0212120089634262,0.73843584521902,2.51520658663902e-264,"200_control_B_8000",12.5,200,"control","B",8000,2.65150112042827e-09,-0.0211490947340631
15.592215920241,-0.0532098185011358,0.925586896302758,0,"200_control_C_8000",12.5,200,"control","C",8000,-6.65122731264197e-09,0.0530519996575119
-29.2636700590408,-0.000331423091627305,0.000387733836133887,0.554773760159049,"200_control_D_8000",12.5,200,"control","D",8000,-4.14278864534131e-11,0.000330440099943735
-73.1402286505446,-0.551747921280868,0.99848395962515,0,"50_15_A_13333",12.5,50,"15","A",13333,-4.13821286492813e-08,0.330075123241689
-41.6514344929262,-0.358374282001286,0.997611725577223,0,"50_15_B_8000",12.5,50,"15","B",8000,-4.47967852501608e-08,0.357311353835711
-65.0942379820548,-0.411994316887728,0.995400092959435,0,"50_15_C_8000",12.5,50,"15","C",8000,-5.1499289610966e-08,0.410772353188126
-38.4646230294537,-0.263911744500561,0.986435253591386,0,"50_15_D_8000",12.5,50,"15","D",8000,-3.29889680625701e-08,0.263128989597254
-93.5490499496364,-0.657328249715126,0.993411952439049,0,"50_20_A_8000",12.5,50,"20","A",8000,-8.21660312143908e-08,0.655378632385589
