position,sample,stable.control,stable.temp,duration,start,end,density
A1,50_20_A,23,23,93,20,113,8000
A2,100_20_A,23,23,93,20,113,8000
A3,200_20_A,23,23,93,20,113,8000
A4,50_25_A,23,23,93,20,113,8000
A5,100_25_A,23,23,93,20,113,8000
A6,200_25_A,23,23,93,20,113,2000
B1,50_20_B,23,23,93,20,113,8000
B2,100_20_B,23,23,93,20,113,8000
B3,200_20_B,23,23,93,20,113,8000
B4,50_25_B,23,23,93,20,113,10000
B5,100_25_B,23,23,93,20,113,8000
B6,200_25_B,23,23,93,20,113,6000
C1,50_20_C,23,23,93,20,113,8000
C2,100_20_C,23,23,93,20,113,8000
C3,200_20_C,23,23,93,20,113,6000
C4,50_25_C,23,23,93,20,113,2000
C5,100_25_C,23,23,93,20,113,8000
C6,200_25_C,23,23,93,20,113,6000
D1,50_20_D,23,23,93,20,113,8000
D2,100_20_D,23,23,93,20,113,8000
D3,200_20_D,23,23,93,20,113,8000
D4,50_25_D,23,23,93,20,113,6000
D5,100_25_D,23,23,93,20,113,8000
D6,200_25_D,23,23,93,20,113,2000
